Puzzle Number,Description,Words,Color
62,GREEK LETTERS,"MU, NU, PI, XI",#5492ff
62,PERIODIC TABLE SYMBOLS,"FE, HE, NA, NI",#df7bea
63,FASTENING VERBS,"BUCKLE, BUTTON, SNAP, ZIP",#fbd400
63,SLANG FOR ZERO,"JACK, NADA, NOTHING, SQUAT",#69e352
63,GYM EXERCISES,"CURL, LUNGE, PLANK, PRESS",#5492ff
63,“CAPTAINS”,"CRUNCH, KANGAROO, OBVIOUS, PLANET",#df7bea
64,CLASSIC DOG NAMES,"FIDO, LUCKY, ROVER, SPOT",#fbd400
64,PERCEIVE,"CATCH, NOTICE, OBSERVE, SEE",#69e352
64,FISHING TERMS,"BAIT, CHUM, FLY, SINKER",#5492ff
64,T-___,"BONE, REX, SHIRT, STORM",#df7bea
65,STATES OF MATTER,"GAS, LIQUID, PLASMA, SOLID",#fbd400
65,ENERGY,"JUICE, SPIRIT, STEAM, VIGOR",#69e352
65,CLASSICAL ELEMENTS,"AIR, EARTH, FIRE, WATER",#5492ff
65,THINGS WITH RINGS,"CIRCUS, SATURN, TREE, WEDDING",#df7bea
66,TIME PERIODS,"CENTURY, DECADE, MILLENNIUM, YEAR",#fbd400
66,BREAKFAST FOODS,"CEREAL, OMELET, PANCAKE, WAFFLE",#69e352
66,PAINTERS,"BACON, CLOSE, MUNCH, WHISTLER",#5492ff
66,ONE IN A DOZEN,"EGG, JUROR, MONTH, ROSE",#df7bea
67,DESSERTS,"CAKE, COBBLER, PIE, TART",#fbd400
67,OCCUPATIONAL SURNAMES,"FISHER, MASON, MILLER, SMITH",#69e352
67,ALTER DECEPTIVELY,"DISTORT, DOCTOR, FUDGE, TWIST",#5492ff
67,SQUARE ___,"DANCE, MEAL, ONE, ROOT",#df7bea
68,UNITS OF VOLUME,"CUP, GALLON, PINT, QUART",#fbd400
68,EXTREMELY,"AWFUL, QUITE, SUPER, VERY",#69e352
68,WORLD CURRENCIES,"RAND, REAL, STERLING, WON",#5492ff
68,___ CAKE,"CARROT, COFFEE, POUND, SPONGE",#df7bea
69,FRIEND,"BUD, CHUM, MATE, PAL",#fbd400
69,COOKWEAR,"CROCK, POT, SKILLET, WOK",#69e352
69,SHOES,"CLOG, PUMP, SLIDE, WEDGE",#5492ff
69,SLANG FOR CANNABIS,"GRASS, HERB, MARY JANE, WEED",#df7bea
70,CAMPING SUPPLIES,"COOLER, LANTERN, SLEEPING BAG, TENT",#fbd400
70,INSULT,"BARB, DIG, DISS, JAB",#69e352
70,TINY,"MINUTE, SLIGHT, SMALL, WEE",#5492ff
70,HAPPY ___,"CAMPER, HOUR, MEAL, MEDIUM",#df7bea
71,U.S. MOUNTAIN STATES,"ARIZONA, COLORADO, NEVADA, UTAH",#fbd400
71,SODA BRANDS,"CRUSH, MUG, SPRITE, SQUIRT",#69e352
71,CLASSIC ROCK BANDS,"GENESIS, KANSAS, RUSH, YES",#5492ff
71,TONY ___,"HAWK, MONTANA, SOPRANO, STARK",#df7bea
72,PERFORMING ARTISTS,"ACTOR, DANCER, SINGER, STAND-UP",#fbd400
72,SANTA’S REINDEER,"COMET, CUPID, DASHER, VIXEN",#69e352
72,SEEN ON VALENTINE’S DAY,"CARD, CHOCOLATE, HEART, ROSE",#5492ff
72,“BAD ___” MOVIES,"BOYS, LIEUTENANT, SANTA, TASTE",#df7bea
73,FACIAL HAIR,"BEARD, GOATEE, MUSTACHE, STUBBLE",#fbd400
73,BIKE PARTS,"GEAR, HANDLEBAR, PEDAL, WHEEL",#69e352
73,PURSUE,"DOG, FOLLOW, TAIL, TRACK",#5492ff
73,THINGS THAT ARE CAST,"DOUBT, MOVIE, SHADOW, VOTE",#df7bea
74,EXTINCT ANIMALS,"DODO, MAMMOTH, MASTODON, TRILOBITE",#fbd400
74,FAILURES,"BUSTS, FLOPS, MISSES, TURKEYS",#69e352
74,SLANG FOR CLOTHES,"DUDS, GETUP, OUTFIT, THREADS",#5492ff
74,KISS,"PECK, SMACK, SMOOCH, X",#df7bea
75,SOCIAL GATHERING,"BASH, BLOWOUT, PARTY, SHINDIG",#fbd400
75,FOUND IN A KITCHEN,"COUNTER, MIXER, RANGE, SINK",#69e352
75,“PINOCCHIO” FIGURES,"CRICKET, PUPPET, WHALE, WOODCARVER",#5492ff
75,EASTER ___,"BUNNY, EGG, ISLAND, SUNDAY",#df7bea
76,BOARD GAMES,"RISK, SORRY, TABOO, TROUBLE",#fbd400
76,NEWSPAPER SECTIONS,"BUSINESS, NATIONAL, OPINION, STYLE",#69e352
76,FIGURES IN GREEK MYTH,"ATLAS, HERMES, NIKE, PARIS",#5492ff
76,FIRST WORDS IN RAPPERS’ NAMES,"FOXY, GUCCI, KILLER, NOTORIOUS",#df7bea
77,PIECES OF CHICKEN,"BREAST, DRUMSTICK, TENDER, WING",#fbd400
77,GOLF TERMS,"DRIVER, EAGLE, HOLE, STROKE",#69e352
77,DRUM SET COMPONENTS,"CYMBAL, KICK, SNARE, TOM",#5492ff
77,ASSOCIATED WITH “CRAWL”,"INFANT, PUB, SWIMMING, TICKER",#df7bea
78,STATES OF ELATION,"BLISS, CLOUD NINE, HEAVEN, PARADISE",#fbd400
78,SCAM,"CON, FAST ONE, HUSTLE, RACKET",#69e352
78,GREETING GESTURES,"HIGH FIVE, HUG, SHAKE, WAVE",#5492ff
78,___ LIST,"BUCKET, GUEST, TOP TEN, WISH",#df7bea
79,DEPART QUICKLY,"BOOK, BOUNCE, RUN, SPLIT",#fbd400
79,ANIMALS THAT END WITH “X”,"FOX, IBEX, LYNX, ORYX",#69e352
79,SHADES OF BLACK,"EBONY, JET, ONYX, RAVEN",#5492ff
79,WORDS BEFORE DAYS OF THE WEEK,"ASH, BLACK, CYBER, FAT",#df7bea
80,PLAYGROUND FIXTURES,"SANDBOX, SEESAW, SLIDE, SWING",#fbd400
80,INFLUENCE,"CLOUT, PULL, SWAY, WEIGHT",#69e352
80,EGYPTIAN SYMBOLS,"ANKH, CROOK, EYE, SCARAB",#5492ff
80,FONTS,"COURIER, IMPACT, PAPYRUS, TIMES",#df7bea
81,APPETIZER UNIT,"FRY, NACHO, POPPER, WING",#fbd400
81,RESPONSE TO A CORRECT ANSWER,"BINGO, CORRECT, RIGHT, YES",#69e352
81,MAR,"CHIP, DING, NICK, SCRATCH",#5492ff
81,___JACK,"APPLE, CRACKER, FLAP, LUMBER",#df7bea
82,DRINK VESSELS,"GOBLET, SNIFTER, STEIN, TUMBLER",#fbd400
82,WOODWINDS,"CLARINET, FLUTE, OBOE, SAXOPHONE",#69e352
82,AMERICAN POETS,"BISHOP, FROST, OLDS, POUND",#5492ff
82,CONSECUTIVE DOUBLE LETTERS,"BALLOON, BASSOON, COFFEE, FRICASSEE",#df7bea
83,AU NATUREL,"BARE, NAKED, NUDE, UNCLAD",#fbd400
83,BAKED GOODS,"BUN, DANISH, MUFFIN, TURNOVER",#69e352
83,AMERICAN FOOTBALL ACTIONS,"FUMBLE, PUNT, SACK, SNAP",#5492ff
83,MANICURE STEPS,"BUFF, CLIP, FILE, POLISH",#df7bea
84,FEMALE ANIMALS,"COW, DOE, HEN, MARE",#fbd400
84,PRONOUNS,"I, IT, THEY, WE",#69e352
84,ROMAN NUMERALS,"D, L, M, V",#5492ff
84,HOMOPHONES,"EWE, U, YEW, YOU",#df7bea
85,PAINTING ACCESSORIES,"BRUSH, CANVAS, EASEL, PALETTE",#fbd400
